displayId,question,answer,answerImageQuery,reason
Q6,"An opening for the discharge of water that supplies a plumbing fixture, boiler, or heating system, or any device or piece of equipment which is not part of a plumbing system but requires water to operate.",Water Outlet,Water Outlet building utilities component photo,utility component/device is visually helpful
Q59,What is a disadvantage of WLAN?,devices will only operate at a limited distance from an access point,devices will only operate at a limited distance from an access point building utilities component photo,utility component/device is visually helpful
Q64,Usually used for kitchen and toilets to expel odors?,Exhaust Fan,Exhaust Fan HVAC component photo,utility component/device is visually helpful
Q88,"is a single, usually cylindrical, flexible strand or rod of metal that are used to bear mechanical loads or electricity and telecommunications signals?",Wire,Wire electrical device photo,utility component/device is visually helpful
Q95,Which of the following SHOULD NOT be used for an office?,Halogen,Halogen electrical device photo,utility component/device is visually helpful
Q111,A trap used for bath tubs.,drum trap,drum trap plumbing fixture photo,utility component/device is visually helpful
Q112,Which of the following doesn't need a P-trap?,Water Closet,Water Closet plumbing fixture photo,utility component/device is visually helpful
Q127,It is the standard way to connect computers on a network over a wired connection.,Ethernet,Ethernet building utilities component photo,utility component/device is visually helpful
Q128,It is a networking device that forwards data packets between computer networks.,Router,Router building utility device photo,utility component/device is visually helpful
Q131,"Water enters through an open rim, as though a bucket of water were dumped into the bowl, filling the front trapway and creating siphon action. This model provides quick removal of water with minimum water rise.",Reverse Trap,Reverse Trap plumbing fixture photo,utility component/device is visually helpful
Q153,It is an object or type of material that allows the flow of electrical current in one or more directions.,Conductors,Conductors HVAC component photo,utility component/device is visually helpful
Q158,Best medium for the internet connection for an office?,Fiber Optic Cable,Fiber Optic Cable electrical device photo,utility component/device is visually helpful
Q178,"In a ""Samgyupsal"" Restaurant, what should you provide to be at least minimize or to prevent the flooring from being too slippery?",Enough Exhaust Fan,Enough Exhaust Fan HVAC component photo,utility component/device is visually helpful
Q179,Which of the following needs an exhaust fan?,Water Closet Cubicle,Water Closet Cubicle plumbing fixture photo,utility component/device is visually helpful
Q185,"In a Milk Tea Shop, ideally, which of the following lighting luminaire should be used if the owner wants to highlight the Menu Board,",Eyeball Light with Halogen Bulb,Eyeball Light with Halogen Bulb electrical device photo,utility component/device is visually helpful
Q190,Which of the following devices should you use if you want to control the lighting intensity of your living room without appreciably affecting spatial distribution?,Dimmer Switch,Dimmer Switch electrical device photo,utility component/device is visually helpful
Q194,A Trap used between House Drain and House Sewer?,Running Trap,Running Trap plumbing fixture photo,utility component/device is visually helpful
Q195,Which of the following flushing system is best for public establishments?,Flush Meter Valve,Flush Meter Valve plumbing fixture photo,utility component/device is visually helpful
Q203,Which of the following conduit has the capacity to be threaded and bended?,IMC,IMC building utilities component photo,utility component/device is visually helpful
Q233,Also known as Sluice Valve ?,Gate Valve,Gate Valve plumbing fixture photo,utility component/device is visually helpful
Q244,Used to suppress fire in a wide area?,Fire Sprinkler,Fire Sprinkler building utility device photo,utility component/device is visually helpful
Q248,Which of the following valve has a capacity to control or regulate the flow of water?,Globe Valve,Globe Valve plumbing fixture photo,utility component/device is visually helpful
Q249,It is an underground reservoir for rainwater.,Cistern,Cistern building utilities component photo,utility component/device is visually helpful
Q257,What is the most economical metal conduit for communication line?,EMT,EMT building utilities component photo,utility component/device is visually helpful
Q271,"It is a unit made of several devices, which uses visual and audio signalization to warn people about possible fire or smoke occurrence around coverage area.",Fire Alarm,Fire Alarm building utility device photo,utility component/device is visually helpful
Q276,"A receptacle designed to be sat upon in order to wash one's genitalia, perineum, inner buttocks, and anus.",Bidet,Bidet plumbing fixture photo,utility component/device is visually helpful
Q281,Valve that is usually installed at the end of a pipe.,Foot Valve,Foot Valve plumbing fixture photo,utility component/device is visually helpful
Q285,A trap that is aesthetically pleasing even without cover.,Bottle Trap,Bottle Trap plumbing fixture photo,utility component/device is visually helpful
Q289,Which of the following is not a part of a Commercial Generator?,Chiller,Chiller HVAC component photo,utility component/device is visually helpful
