displayId,question,answer,answerImageQuery,reason
Q117,"Usually 1 or 2 inches in rough thickness often containing knots or defects intended for use in mills making it into sash, doors and/or cabinets:",Shop lumber,Shop lumber building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q132,Best material for exterior walls,Plywood,Plywood building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q134,"A dense, rigid board containing a high proportion of asbestos fibers bonded with Portland cement which is resistant to fire, flame and weathering and has low resistance to heat flow is called:",asbestos cement board,asbestos cement board building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q135,Which is not a brand name of a medium density fiberboard (MDF)?,Masonite,Masonite building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q137,What wood composite is commonly used for toilet partitions?,Phenolic board with HPL,Phenolic board with HPL building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q139,Paper used as an outer covering for gypsum board by a sheet of kraft paper is called:,envelope paper,envelope paper building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q140,A material used to remedy vapor flow is:,"glossy surfaced asphalt saturated paper, 50 lbs or more","glossy surfaced asphalt saturated paper, 50 lbs or more building material photo",correct answer is a visual material/tool/hardware/defect/finish
Q141,Nails made of low-carbon steel wire with slender plain shanks and medium diamond points usually used for framing where finish is not important are called:,Common Wire Nails,Common Wire Nails fastener product photo,correct answer is a visual material/tool/hardware/defect/finish
Q143,Best fastener for asphalt shingle?,shingle nail,shingle nail fastener product photo,correct answer is a visual material/tool/hardware/defect/finish
Q148,This is used to fasten drywall to wood studs:,drywall scre,drywall scre building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q149,"Used to fasten metal roofing sheets to the roof purlins,",Tek screw,Tek screw fastener product photo,correct answer is a visual material/tool/hardware/defect/finish
Q151,Threaded metal pins or rods with one end having the head and with the external thread on the other end that accepts a mating nut (a metal block with a central threaded hole) to receive a bolt or other threaded material) and is used for holding together or securing different members or materials after being inserted through holes:,Bolts,Bolts hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q152,"What is a round, steel bolt embedded in concrete or masonry use to hold down machinery, steel columns or beam plates and engine heads?",Anchor bolt,Anchor bolt hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q153,A threaded steel bent inserted of masonry construction for securing wood or metal plates to concrete construction.” w,Anchor bolt,Anchor bolt hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q155,What alternative fastening material can be used to fasten a ceiling on metal ceiling joist other than metal screws?,aluminum blind rivet,aluminum blind rivet fastener product photo,correct answer is a visual material/tool/hardware/defect/finish
Q156,"For water tight connections, best to use for gutter joints",Structural sealant,Structural sealant building material photo,correct answer is a visual material/tool/hardware/defect/finish
Q157,Used to connect metal studs,Pointed screw,Pointed screw fastener product photo,correct answer is a visual material/tool/hardware/defect/finish
Q159,"Has a head that projects slightly to one side almost flushed with the sides with the same thickness. These are very light finishing nails and are used for light, finished construction and to hold moldings?",Brad Nail,Brad Nail fastener product photo,correct answer is a visual material/tool/hardware/defect/finish
Q160,Bolt with a round unslotted head with a square collar beneath the head is called as:,carriage bolt,carriage bolt hardware product photo,correct answer is a visual material/tool/hardware/defect/finish
Q161,The brand name of sheet metal roofing includes the following:,Steeltech,Steeltech building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
Q164,A roofing tile which has the shape of an ‘S’ laid on its side is,Pan tile,Pan tile building material sample photo,correct answer is a visual material/tool/hardware/defect/finish
